#{"t_start": 1693812753.1991377, "env_id": "None"}
r,l,t,reward
-112.0,25,0.893028,-15
-114.0,25,1.465023,-15
-167.0,25,2.053843,-18
-207.0,25,2.654478,-20
-226.0,25,3.233486,-21
-185.0,25,3.76149,-19
-117.0,25,4.371483,-15
-114.0,25,4.941524,-15
-150.0,25,5.519059,-17
-207.0,25,6.108006,-20
-206.0,25,6.709064,-20
-150.0,25,7.323143,-17
-114.0,25,7.915066,-15
-116.0,25,8.49014,-15
-85.0,25,9.12212,-13
-167.0,25,9.679142,-18
-117.0,25,10.252312,-15
-147.0,25,10.848331,-17
-206.0,25,11.630311,-20
-206.0,25,12.269387,-20
-228.0,25,12.825348,-21
-168.0,25,13.430351,-18
-117.0,25,14.017472,-15
-206.0,25,14.547812,-20
-150.0,25,15.086656,-17
-87.0,25,15.643474,-13
-206.0,25,16.213493,-20
-149.0,25,16.820524,-17
-187.0,25,17.432319,-19
-226.0,25,17.999882,-21
-166.0,25,18.571134,-18
-113.0,25,19.117129,-15
-207.0,25,19.786151,-20
-112.0,25,20.351141,-15
-113.0,25,20.916254,-15
-117.0,25,21.514141,-15
-207.0,25,22.108429,-20
-117.0,25,22.695948,-15
-147.0,25,23.290983,-17
-113.0,25,23.861203,-15
-147.0,25,24.412382,-17
-250.0,25,24.980463,-22
-207.0,25,25.539673,-20
-117.0,25,26.098135,-15
-150.0,25,26.675653,-17
-249.0,25,27.290191,-22
-112.0,25,27.903307,-15
-206.0,25,28.517193,-20
-273.0,25,29.194772,-23
-187.0,25,29.819751,-19
-113.0,25,30.489648,-15
-148.0,25,31.14666,-17
-117.0,25,31.728659,-15
-81.0,25,32.331955,-13
-250.0,25,32.910966,-22
-114.0,25,33.464967,-15
-149.0,25,34.130965,-17
-206.0,25,34.735065,-20
-148.0,25,35.368067,-17
-117.0,25,36.048594,-15
-207.0,25,36.685079,-20
-114.0,25,37.260079,-15
-112.0,25,37.863076,-15
-117.0,25,38.496345,-15
-205.0,25,39.068642,-20
-113.0,25,39.661169,-15
-227.0,25,40.261619,-21
-149.0,25,40.881941,-17
-150.0,25,41.436458,-17
-113.0,25,42.048458,-15
-117.0,25,42.656475,-15
-207.0,25,43.265457,-20
-117.0,25,43.872475,-15
-205.0,25,44.452458,-20
-185.0,25,45.04854,-19
-97.0,25,45.66565,-14
-149.0,25,46.241651,-17
-113.0,25,46.840665,-15
-167.0,25,47.416647,-18
-113.0,25,47.968271,-15
-133.0,25,48.527356,-16
-113.0,25,49.125279,-15
-113.0,25,49.651395,-15
-113.0,25,50.171596,-15
-112.0,25,50.759604,-15
-117.0,25,51.338895,-15
-114.0,25,51.876492,-15
-271.0,25,52.432502,-23
-187.0,25,52.990491,-19
-166.0,25,53.591589,-18
-207.0,25,54.230688,-20
-117.0,25,54.769697,-15
-114.0,25,55.384604,-15
-147.0,25,55.9436,-17
-167.0,25,56.491604,-18
-248.0,25,57.032074,-22
-129.0,25,57.596659,-16
-113.0,25,58.1593,-15
-150.0,25,58.69105,-17
-112.0,25,59.276778,-15
